Date,Value
5/12/1989,2439.7
5/19/1989,2501.1
5/26/1989,2493.77
6/2/1989,2517.83
6/9/1989,2513.42
6/16/1989,2486.38
6/23/1989,2531.87
6/30/1989,2440.06
7/7/1989,2487.86
7/14/1989,2554.82
7/21/1989,2607.36
7/28/1989,2635.24
8/4/1989,2653.45
8/11/1989,2683.99
8/18/1989,2687.97
8/25/1989,2732.36
9/1/1989,2752.09
9/8/1989,2709.54
9/15/1989,2674.58
9/22/1989,2681.61
9/29/1989,2692.82
10/6/1989,2785.52
10/13/1989,2569.26
10/20/1989,2689.14
10/27/1989,2596.72
11/3/1989,2629.51
11/10/1989,2625.61
11/17/1989,2652.66
11/24/1989,2675.55
12/1/1989,2747.65
12/8/1989,2731.44
12/15/1989,2739.55
12/22/1989,2711.39
12/29/1989,2753.2
1/5/1990,2773.25
1/12/1990,2689.21
1/19/1990,2677.9
1/26/1990,2559.23
2/2/1990,2602.7
2/9/1990,2648.2
2/16/1990,2635.59
2/23/1990,2564.19
3/2/1990,2660.36
3/9/1990,2683.33
3/16/1990,2741.22
3/23/1990,2704.28
3/30/1990,2707.21
4/6/1990,2717.12
4/12/1990,2751.8
4/20/1990,2695.95
4/27/1990,2645.05
5/4/1990,2710.36
5/11/1990,2801.58
5/18/1990,2819.91
5/25/1990,2820.92
6/1/1990,2900.97
6/8/1990,2862.38
6/15/1990,2935.89
6/22/1990,2857.18
6/29/1990,2880.69
7/6/1990,2904.95
7/13/1990,2980.2
7/20/1990,2961.14
7/27/1990,2898.51
8/3/1990,2809.65
8/10/1990,2716.58
8/17/1990,2644.8
8/24/1990,2532.92
8/31/1990,2614.36
9/7/1990,2619.55
9/14/1990,2564.11
9/21/1990,2512.38
9/28/1990,2452.48
10/5/1990,2510.64
10/12/1990,2398.02
10/19/1990,2520.79
10/26/1990,2436.14
11/2/1990,2490.84
11/9/1990,2488.61
11/16/1990,2550.25
11/23/1990,2527.23
11/30/1990,2559.65
12/7/1990,2590.1
12/14/1990,2593.81
12/21/1990,2633.66
12/28/1990,2629.21
1/4/1991,2566.09
1/11/1991,2501.49
1/18/1991,2646.78
1/25/1991,2659.41
2/1/1991,2730.69
